name,ra_deg,dec_deg,mag
Sirius,101.2875,-16.7161,-1.46
Canopus,95.9879,-52.6957,-0.74
Arcturus,213.9153,19.1824,-0.05
Vega,279.2347,38.7837,0.03
Capella,79.1723,45.9979,0.08
Rigel,78.6345,-8.2016,0.13
Procyon,114.8255,5.2250,0.34
Achernar,24.4286,-57.2368,0.46
Betelgeuse,88.7929,7.4071,0.50
Hadar,210.9558,-60.3730,0.61
Altair,297.6958,8.8683,0.76
Aldebaran,68.9802,16.5093,0.85
Spica,201.2983,-11.1614,0.98
Antares,247.3519,-26.4320,1.06
Pollux,116.3297,28.0262,1.14
Fomalhaut,344.4128,-29.6222,1.16
Deneb,310.3579,45.2803,1.25
Regulus,152.0929,11.9672,1.35
Adhara,104.6564,-28.9721,1.50
Castor,113.6494,31.8883,1.58
Gacrux,186.6490,-57.1132,1.63
Bellatrix,81.2828,6.3497,1.64
Elnath,81.5729,28.6075,1.65
Miaplacidus,138.2999,-69.7172,1.67
Alnilam,84.0534,-1.2019,1.69
